Row ID,Order Date,Customer Name,Segment,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount
40,12/27/2015,Steve Nguyen,Home Office,Texas,Furniture,Chairs,Global Fabric Manager's Chair, Dark Gray,212.058,3,0.3
41,12/27/2015,Steve Nguyen,Home Office,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2
42,9/10/2017,Linda Cazamias,Corporate,Illinois,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2
43,7/17/2016,Ruben Ausman,Corporate,California,Office Supplies,Storage,Eldon Base for stackable storage shelf, platinum,77.88,2,0
44,9/19/2017,Erin Smith,Corporate,Florida,Office Supplies,Storage,Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers,95.616,2,0.2
45,3/11/2016,Odella Nelson,Corporate,Minnesota,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack,45.98,2,0
46,3/11/2016,Odella Nelson,Corporate,Minnesota,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0
47,10/20/2014,Patrick O'Donnell,Consumer,Michigan,Office Supplies,Storage,Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black,211.96,4,0
48,6/20/2016,Lena Hernandez,Consumer,Delaware,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0
49,6/20/2016,Lena Hernandez,Consumer,Delaware,Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,21.8,2,0
50,4/18/2015,Darren Powers,Consumer,Indiana,Office Supplies,Binders,C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack,38.22,6,0
51,4/18/2015,Darren Powers,Consumer,Indiana,Office Supplies,Labels,Avery 485,75.18,6,0
52,4/18/2015,Darren Powers,Consumer,Indiana,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0
53,4/18/2015,Darren Powers,Consumer,Indiana,Furniture,Chairs,Global Leather Task Chair, Black,89.99,1,0
54,12/11/2016,Janet Molinari,Corporate,New York,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0
55,12/11/2016,Janet Molinari,Corporate,New York,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0
56,6/17/2016,Ted Butterfield,Consumer,New York,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0
57,6/17/2016,Ted Butterfield,Consumer,New York,Office Supplies,Paper,Xerox 232,32.4,5,0
58,6/17/2016,Ted Butterfield,Consumer,New York,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1
59,6/17/2016,Ted Butterfield,Consumer,New York,Office Supplies,Paper,Array Parchment Paper, Assorted Colors,14.56,2,0
60,6/17/2016,Ted Butterfield,Consumer,New York,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0
61,6/17/2016,Ted Butterfield,Consumer,New York,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2
62,6/17/2016,Ted Butterfield,Consumer,New York,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0
63,11/24/2015,Kunst Miller,Consumer,California,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack,13.98,2,0
64,11/24/2015,Kunst Miller,Consumer,California,Office Supplies,Binders,Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11",25.824,6,0.2
65,11/24/2015,Kunst Miller,Consumer,California,Office Supplies,Paper,Xerox 1943,146.73,3,0
66,11/24/2015,Kunst Miller,Consumer,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0
67,4/30/2015,Paul Stevenson,Home Office,Illinois,Furniture,Chairs,Global Value Mid-Back Manager's Chair, Gray,213.115,5,0.3
68,12/5/2014,Brendan Sweed,Corporate,Arizona,Office Supplies,Art,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige,1113.024,8,0.2
69,12/5/2014,Brendan Sweed,Corporate,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2
70,6/4/2016,Karen Daniels,Consumer,Virginia,Office Supplies,Paper,Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate,75.88,2,0
71,9/18/2016,Henry MacAllister,Consumer,New York,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2
72,9/14/2017,Tracy Blumstein,Consumer,Michigan,Office Supplies,Paper,Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16",19.05,3,0
73,4/26/2015,Joel Eaton,Consumer,Tennessee,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2
74,4/26/2015,Joel Eaton,Consumer,Tennessee,Furniture,Furnishings,Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48",97.04,2,0.2
75,4/26/2015,Joel Eaton,Consumer,Tennessee,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2
76,12/9/2017,Ken Brennan,Corporate,Texas,Office Supplies,Binders,Economy Binders,1.248,3,0.8
77,12/9/2017,Ken Brennan,Corporate,Texas,Furniture,Furnishings,6" Cubicle Wall Clock, Black,9.708,3,0.6
78,12/9/2017,Ken Brennan,Corporate,Texas,Office Supplies,Storage,SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h,27.24,3,0.2
79,11/26/2014,Joel Eaton,Consumer,Texas,Furniture,Furnishings,Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak,19.3,5,0.6
80,6/12/2016,Stewart Carmichael,Corporate,Alabama,Office Supplies,Appliances,1.7 Cubic Foot Compact "Cube" Office Refrigerators,208.16,1,0
81,6/12/2016,Stewart Carmichael,Corporate,Alabama,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0
82,10/12/2014,Duane Noonan,Consumer,California,Office Supplies,Art,Premium Writing Pencils, Soft, #2 by Central Association for the Blind,14.9,5,0
83,10/12/2014,Duane Noonan,Consumer,California,Office Supplies,Storage,Sortfiler Multipurpose Personal File Organizer, Black,21.39,1,0
84,9/3/2015,Julie Creighton,Corporate,North Carolina,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2
85,11/13/2017,Christopher Schild,Home Office,Illinois,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2
86,5/28/2017,Patrick O'Donnell,Consumer,South Carolina,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0
87,10/26/2017,Paul Gonzalez,Consumer,Minnesota,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0
88,10/26/2017,Paul Gonzalez,Consumer,Minnesota,Office Supplies,Labels,Avery 511,6.16,2,0
89,4/5/2016,Gary Mitchum,Home Office,Texas,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2
90,9/17/2016,Jim Sink,Corporate,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0
91,9/17/2016,Jim Sink,Corporate,California,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2
92,9/17/2016,Jim Sink,Corporate,California,Office Supplies,Paper,Xerox 1995,6.48,1,0
93,1/31/2015,Karl Braun,Consumer,Minnesota,Office Supplies,Paper,Xerox 1999,12.96,2,0
94,1/31/2015,Karl Braun,Consumer,Minnesota,Furniture,Furnishings,Seth Thomas 13 1/2" Wall Clock,53.34,3,0
95,1/31/2015,Karl Braun,Consumer,Minnesota,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0
96,11/6/2017,Roger Barcio,Home Office,Oregon,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7
97,11/9/2017,Parhena Norris,Home Office,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0
98,6/17/2017,Katherine Ducich,Consumer,California,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2
99,9/6/2016,Elpida Rittenbach,Corporate,Minnesota,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0
100,8/29/2016,Rick Bensley,Home Office,Illinois,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2
101,8/29/2016,Rick Bensley,Home Office,Illinois,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2
102,8/29/2016,Rick Bensley,Home Office,Illinois,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8
103,12/1/2016,Gary Zandusky,Consumer,Minnesota,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0
104,11/13/2015,Lena Cacioppo,Consumer,Colorado,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2
105,11/13/2015,Lena Cacioppo,Consumer,Colorado,Furniture,Furnishings,Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting,102.36,3,0.2
106,11/13/2015,Lena Cacioppo,Consumer,Colorado,Office Supplies,Binders,Avery Trapezoid Ring Binder, 3" Capacity, Black, 1040 sheets,36.882,3,0.7
107,11/23/2017,Janet Martin,Consumer,North Carolina,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2
108,11/23/2017,Janet Martin,Consumer,North Carolina,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2
109,11/23/2017,Janet Martin,Consumer,North Carolina,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2
110,10/15/2015,Pete Armstrong,Home Office,Illinois,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2
111,12/25/2017,Cynthia Voltz,Corporate,New York,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0
112,11/3/2016,Clay Ludtke,Consumer,Iowa,Office Supplies,Art,Hunt PowerHouse Electric Pencil Sharpener, Blue,75.96,2,0
113,11/3/2016,Clay Ludtke,Consumer,Iowa,Office Supplies,Binders,Avery Durable Plastic 1" Binders,27.24,6,0
114,8/25/2014,Ryan Crowe,Consumer,Ohio,Office Supplies,Fasteners,OIC Colored Binder Clips, Assorted Sizes,40.096,14,0.2
115,8/25/2014,Ryan Crowe,Consumer,Ohio,Office Supplies,Envelopes,Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2,4.72,2,0.2
116,8/25/2014,Ryan Crowe,Consumer,Ohio,Office Supplies,Paper,Xerox 1921,23.976,3,0.2
117,8/25/2014,Ryan Crowe,Consumer,Ohio,Office Supplies,Envelopes,Tyvek  Top-Opening Peel & Seel Envelopes, Plain White,130.464,6,0.2
118,3/2/2015,Dave Kipp,Consumer,Washington,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0
119,4/5/2015,Greg Guthrie,Corporate,Tennessee,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7
120,6/12/2016,Steven Cartwright,Consumer,Delaware,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0
121,6/12/2016,Steven Cartwright,Consumer,Delaware,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0
122,6/12/2016,Steven Cartwright,Consumer,Delaware,Office Supplies,Storage,Companion Letter/Legal File, Black,226.56,6,0
123,6/12/2016,Steven Cartwright,Consumer,Delaware,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0
124,6/12/2016,Steven Cartwright,Consumer,Delaware,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0
125,12/26/2014,Alan Dominguez,Home Office,Texas,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3
126,9/20/2014,Philip Fox,Consumer,Illinois,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5
127,11/5/2017,Troy Staebel,Consumer,Arizona,Office Supplies,Binders,Avery Durable Slant Ring Binders, No Labels,2.388,2,0.7
128,11/5/2017,Troy Staebel,Consumer,Arizona,Office Supplies,Storage,Trav-L-File Heavy-Duty Shuttle II, Black,243.992,7,0.2
129,11/6/2016,Lindsay Shagiari,Home Office,California,Furniture,Chairs,Global Task Chair, Black,81.424,2,0.2
130,11/6/2016,Lindsay Shagiari,Home Office,California,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0
131,2/2/2017,Dorothy Wardle,Corporate,Ohio,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4
132,2/2/2017,Dorothy Wardle,Corporate,Ohio,Office Supplies,Paper,Xerox 1916,78.304,2,0.2
133,2/2/2017,Dorothy Wardle,Corporate,Ohio,Office Supplies,Fasteners,Staples,21.456,9,0.2
134,10/13/2016,Lena Creighton,Consumer,California,Office Supplies,Paper,Xerox 195,20.04,3,0
135,10/13/2016,Lena Creighton,Consumer,California,Office Supplies,Paper,Xerox 1880,35.44,1,0
136,10/13/2016,Lena Creighton,Consumer,California,Office Supplies,Art,Sanford Colorific Colored Pencils, 12/Box,11.52,4,0
137,10/13/2016,Lena Creighton,Consumer,California,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0
138,10/13/2016,Lena Creighton,Consumer,California,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2
139,10/13/2016,Lena Creighton,Consumer,California,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0
140,10/13/2016,Lena Creighton,Consumer,California,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0
141,9/5/2016,Jonathan Doherty,Corporate,Pennsylvania,Furniture,Furnishings,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,82.8,2,0.2
142,9/18/2017,Sally Hughsby,Corporate,California,Office Supplies,Art,Newell 343,8.82,3,0
143,9/18/2017,Sally Hughsby,Corporate,California,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0
144,9/18/2017,Sally Hughsby,Corporate,California,Office Supplies,Paper,Xerox 1911,143.7,3,0
145,12/22/2017,Sandra Glassco,Consumer,Missouri,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0
146,9/7/2015,Helen Andreada,Consumer,California,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0
147,10/22/2014,Maureen Gastineau,Home Office,Ohio,Furniture,Furnishings,Seth Thomas 14" Putty-Colored Wall Clock,93.888,4,0.2
148,12/5/2016,Justin Ellison,Corporate,Wisconsin,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0
149,12/5/2016,Justin Ellison,Corporate,Wisconsin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0
150,12/5/2016,Justin Ellison,Corporate,Wisconsin,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,1951.84,8,0
151,12/5/2016,Justin Ellison,Corporate,Wisconsin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0
152,3/13/2016,Tamara Willingham,Home Office,Arizona,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2
153,3/13/2016,Tamara Willingham,Home Office,Arizona,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2
154,5/31/2015,Stephanie Phelps,Corporate,California,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0
155,5/31/2015,Stephanie Phelps,Corporate,California,Office Supplies,Paper,Xerox 1883,105.52,4,0
156,5/31/2015,Stephanie Phelps,Corporate,California,Office Supplies,Storage,Tenex Personal Project File with Scoop Front Design, Black,80.88,6,0
157,5/28/2015,Neil Knudson,Home Office,Washington,Office Supplies,Art,Newell 311,6.63,3,0
158,3/1/2014,Dave Brooks,Consumer,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2
159,11/20/2016,Nora Paige,Consumer,Oklahoma,Office Supplies,Labels,Avery 519,14.62,2,0
160,11/20/2016,Nora Paige,Consumer,Oklahoma,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0
161,5/11/2016,Ted Trevino,Consumer,California,Office Supplies,Paper,Xerox 1920,5.98,1,0
162,12/28/2015,Eric Murdock,Consumer,Pennsylvania,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2
163,11/16/2016,Ruben Dartt,Consumer,New Mexico,Office Supplies,Envelopes,Staple envelope,28.4,5,0
164,11/7/2016,Max Jones,Consumer,Washington,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2
165,9/8/2014,Becky Martin,Consumer,Texas,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2
166,9/8/2014,Becky Martin,Consumer,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4
167,9/8/2014,Becky Martin,Consumer,Texas,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2
168,9/8/2014,Becky Martin,Consumer,Texas,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3
169,9/8/2014,Becky Martin,Consumer,Texas,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2
170,9/8/2014,Becky Martin,Consumer,Texas,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8
171,9/8/2014,Becky Martin,Consumer,Texas,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2
172,8/5/2014,Chad Sievert,Consumer,California,Office Supplies,Paper,Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”,20.94,3,0
173,8/5/2014,Chad Sievert,Consumer,California,Office Supplies,Paper,Xerox 1913,110.96,2,0
174,8/5/2014,Chad Sievert,Consumer,California,Furniture,Chairs,Global Value Steno Chair, Gray,340.144,7,0.2
175,9/14/2014,Jennifer Braxton,Corporate,Illinois,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8
176,9/14/2014,Jennifer Braxton,Corporate,Illinois,Office Supplies,Labels,Avery 51,20.16,4,0.2
177,4/21/2017,Shirley Jackson,Consumer,Texas,Office Supplies,Appliances,Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection,97.264,4,0.8
178,11/21/2015,Joel Eaton,Consumer,Ohio,Furniture,Chairs,Padded Folding Chairs, Black, 4/Carton,396.802,7,0.3
179,11/21/2015,Joel Eaton,Consumer,Ohio,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,0.2
180,12/15/2015,Jim Kriz,Home Office,New York,Office Supplies,Art,Sanford Colorific Eraseable Coloring Pencils, 12 Count,3.28,1,0
181,12/5/2014,David Kendrick,Corporate,Illinois,Office Supplies,Storage,Tenex File Box, Personal Filing Tote with Lid, Black,24.816,2,0.2
182,12/5/2014,David Kendrick,Corporate,Illinois,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2
183,11/19/2014,Robert Marley,Home Office,Louisiana,Technology,Phones,AT&T TR1909W,503.96,4,0
184,11/19/2014,Robert Marley,Home Office,Louisiana,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95,5,0
185,11/19/2014,Robert Marley,Home Office,Louisiana,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29,2,0
186,11/28/2016,Sally Knutson,Consumer,Connecticut,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,0
187,8/26/2014,Frank Merwin,Home Office,California,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0
188,7/16/2016,Alice McCarthy,Corporate,Texas,Office Supplies,Storage,Personal Filing Tote with Lid, Black/Gray,37.224,3,0.2
189,7/16/2016,Alice McCarthy,Corporate,Texas,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2
190,10/12/2015,Mark Packer,Home Office,New York,Furniture,Bookcases,Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors,899.136,4,0.2
191,10/12/2015,Mark Packer,Home Office,New York,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0
192,10/12/2015,Mark Packer,Home Office,New York,Office Supplies,Paper,Xerox 205,51.84,8,0
193,10/12/2015,Mark Packer,Home Office,New York,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,626.352,3,0.2
194,10/12/2015,Mark Packer,Home Office,New York,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0
195,10/31/2015,Mary Zewe,Corporate,California,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7,0
196,3/21/2014,Cassandra Brandow,Consumer,Ohio,Office Supplies,Art,Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set,7.408,2,0.2
197,3/21/2014,Cassandra Brandow,Consumer,Ohio,Office Supplies,Art,Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box,6.048,3,0.2
198,11/6/2017,Valerie Mitchum,Home Office,New Jersey,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,0
199,7/6/2017,Fred Hopkins,Corporate,Pennsylvania,Office Supplies,Binders,Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue,2.946,2,0.7
200,7/6/2017,Fred Hopkins,Corporate,Pennsylvania,Office Supplies,Paper,Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page,16.056,3,0.2
201,6/24/2017,Maria Bertelson,Consumer,Ohio,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2
202,8/3/2014,Bruce Stewart,Consumer,Colorado,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5
